"I2","Q","p.Qtest","rr","cil","ciu","exposure","outcome","lag","quantile","iqrm","bisection_method"
0,5.201,0.635,1.0045,0.997,1.0119,"spm","circ","2",1,11.71,"abs75"
0,5.898,0.552,0.9994,0.9788,1.0204,"spm","circ","0",2,11.71,"abs75"
0,2.27,0.943,0.9843,0.9638,1.0051,"spm","circ","1",2,11.71,"abs75"
33.765,11.795,0.108,1.003,0.9757,1.0311,"spm","circ","2",2,11.71,"abs75"
39.924,10.979,0.14,0.9992,0.9843,1.0143,"spm","resp","0",1,11.71,"abs75"
0,5.224,0.633,1.0102,0.9999,1.0206,"spm","resp","1",1,11.71,"abs75"
33.672,9.115,0.245,0.9967,0.983,1.0107,"spm","resp","2",1,11.71,"abs75"
0,7.168,0.412,1.0085,0.9821,1.0356,"spm","resp","0",2,11.71,"abs75"
2.494,7.596,0.37,1.0069,0.9802,1.0344,"spm","resp","1",2,11.71,"abs75"
0,5.24,0.631,1.0249,0.9982,1.0524,"spm","resp","2",2,11.71,"abs75"
